number,Unnamed: 0_x,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,dubious,Unnamed: 0.1,Unnamed: 0_y,script_name,movie_name,male_percen,nonmale_percentage,dialogue_score,bechdel_score
71,71,4154796,Avengers: Endgame,2010s,Action,"Anthony Russo, Joe Russo",2019,3,0,13,13,avengers-endgame-2019.pdf,Avengers: Endgame,78.09,21.91,25,0
72,72,1825683,Black Panther,2010s,Action,Ryan Coogler,2018,3,0,1,1,BlackPanther.pdf,Black Panther,77.91,22.09,25,0
73,73,2488496,Star Wars: The Force Awakens,2010s,SCI-FI,George Lucas,2015,3,0,52,52,star-wars-the-force-awakens.pdf,Star Wars: The Force Awakens,78.99,21.01,25,0
74,74,848228,The Avengers,2010s,Action,Joss Whedon,2012,1,0,58,58,the-avengers-2012.pdf,The Avengers,83.58,16.42,25,26.66
75,75,2527336,Star Wars: Episode VIII - The Last Jedi,2010s,SCI-FI,George Lucas,2017,3,0,50,50,star-wars-lastjedi.php,Star Wars: Episode VIII - The Last Jedi,62.84,37.16,16.05,0
76,76,499549,Avatar,2010s,SCI-FI,James Cameron,2009,3,0,12,12,avatar.php,Avatar,68.06,31.94,22.575,0
77,77,770828,Man of Steel,2010s,Action,Zack Snyder,2013,3,0,5,5,ManofSteelnSecondDraftn.pdf,Man of Steel,76.76,23.24,25,0
78,78,3748528,Rogue One: A Star Wars Story,2010s,SCI-FI,Gareth Edwards,2016,3,0,45,45,rogue-one.php,Rogue One: A Star Wars Story,80.73,19.27,25,0
79,79,1201607,Harry Potter and the Deathly Hallows: Part 2,2010s,Fantasy,David Yates,2011,3,1,29,29,harry-potter-and-the-deathly-hollows-part-2-2011.pdf,Harry Potter and the Deathly Hallows: Part 2,78.1,21.9,25,0
80,80,1877832,X-Men: Days of Future Past,2010s,Action,Bryan Singer,2014,1,0,64,64,x-men-days-of-future-past-2014.pdf,X-Men: Days of Future Past,76.21,23.79,25,26.66
